question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
The cerebellum is mainly concerned with:,Vision,Speech production only,Balance and coordination of movement,Hearing,C,"The cerebellum coordinates posture, balance and smooth voluntary movement. It does not initiate movement but refines it.",Expected - RRB Nursing Superintendent | Anatomy - Nervous system
How many pairs of cranial nerves are there?,21,10,12,31,C,There are 12 pairs of cranial nerves and 31 pairs of spinal nerves.,Expected - RRB Nursing Superintendent | Anatomy - Cranial nerves
How many pairs of spinal nerves are there?,31,33,21,12,A,"There are 31 pairs: 8 cervical, 12 thoracic, 5 lumbar, 5 sacral and 1 coccygeal.",Expected - RRB Nursing Superintendent | Anatomy - Spinal nerves
The Brodmann area number that corresponds to the primary visual cortex is,Three,Seventeen,Forty one,Four,B,Primary visual cortex is Brodmann area 17 in the occipital lobe. Area 4 is motor cortex; area 41 is auditory cortex.,"Previous Year - RRB Staff Nurse 2019, 21 July Shift I | Anatomy"
Which cranial nerve is affected in a Bell's Palsy?,Cranial nerve IX,Cranial nerve IV,Cranial nerve VII,Cranial nerve XII,C,"Bell's palsy is LMN paralysis of the facial nerve (CN VII), causing unilateral facial weakness.","Previous Year - RRB Staff Nurse 2019, 20 July Shift III | Anatomy"
The cranial nerve responsible for vision is:,Optic (II),Trigeminal (V),Oculomotor (III),Olfactory (I),A,The optic nerve (CN II) carries visual impulses from the retina. CN I is smell; CN III moves most extraocular muscles.,Expected - RRB Nursing Superintendent | Anatomy - Cranial nerves
The cranial nerve of smell is:,Facial,Olfactory,Optic,Trigeminal,B,The olfactory nerve (CN I) transmits smell from the nasal olfactory mucosa to the brain.,Expected - RRB Nursing Superintendent | Anatomy - Cranial nerves
Which nerve is responsible for adductor muscle of thigh and skin of medial aspect of thigh?,Iliohypogastric nerve,Phrenic nerve,Obturator nerve,Musculocutaneous nerve,C,The obturator nerve (L2-L4) supplies adductors of the thigh and skin of the medial thigh.,"Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 1 | Anatomy"
The longest cranial nerve is the:,Vagus nerve,Trigeminal nerve,Hypoglossal nerve,Optic nerve,A,The vagus nerve (CN X) travels from the brainstem through the neck and thorax to the abdomen. It is the longest cranial nerve.,Expected - RRB Nursing Superintendent | Anatomy - Cranial nerves
The sympathetic nervous system is also called the:,Enteric only system,Thoracolumbar outflow,Rest and digest system,Craniosacral outflow,B,Sympathetic preganglionic fibres leave the spinal cord at T1-L2 (thoracolumbar outflow). Parasympathetic outflow is craniosacral.,Expected - RRB Nursing Superintendent | Anatomy - ANS
The corpus callosum connects:,The two cerebral hemispheres,Cerebellum and cerebrum,Thalamus and hypothalamus,Brain and spinal cord,A,The corpus callosum is the large white-matter commissure joining the left and right cerebral hemispheres.,Expected - RRB Nursing Superintendent | Anatomy - Brain
The innermost layer of the eye that contains photoreceptors is the:,Choroid,Sclera,Cornea,Retina,D,The retina contains rods and cones. Sclera is the outer white coat; choroid is the vascular middle layer; cornea is the clear anterior window.,Expected - RRB Nursing Superintendent | Anatomy - Eye
The transparent anterior part of the outer coat of the eye is the:,Iris,Sclera,Lens,Cornea,D,The cornea is the clear front of the eye and provides most of the eye's focusing power. The sclera is opaque.,Expected - RRB Nursing Superintendent | Anatomy - Eye
The coloured part of the eye that controls pupil size is the:,Iris,Conjunctiva,Ciliary body,Retina,A,The iris is a muscular diaphragm around the pupil. It regulates the amount of light entering the eye.,Expected - RRB Nursing Superintendent | Anatomy - Eye
Receptors for colour vision are:,Bipolar cells only,Rods,Cones,Ganglion cells only,C,Cones mediate colour (photopic) vision and sharp central vision. Rods mediate dim-light (scotopic) vision and do not distinguish colour.,Expected - RRB Nursing Superintendent | Anatomy - Eye
The three ossicles of the middle ear from outer to inner are:,"Malleus, stapes, incus","Malleus, incus, stapes","Stapes, incus, malleus","Incus, malleus, stapes",B,Sound is transmitted malleus (attached to tympanic membrane) → incus → stapes (oval window).,Expected - RRB Nursing Superintendent | Anatomy - Ear
Which function is transmission of sound vibrations to the internal ear?,Auricle,Tympanic membrane,Vestibule,Eustachian tube,B,The tympanic membrane (eardrum) vibrates with sound and transmits energy to the ossicles and then the inner ear. The Eustachian tube equalizes pressure.,"Previous Year - RRB Staff Nurse 2019, 21 July Shift I | Anatomy"
The organ of hearing (organ of Corti) is located in the:,Vestibule only,Semicircular canals,Cochlea,Middle ear cavity,C,The spiral organ of Corti in the cochlea converts sound vibrations into nerve impulses in CN VIII. Semicircular canals sense rotation (balance).,Expected - RRB Nursing Superintendent | Anatomy - Ear
The Eustachian (auditory) tube connects the middle ear to the:,Inner ear directly,Nasopharynx,Larynx,External ear,B,The pharyngotympanic tube equalizes middle-ear pressure with atmospheric pressure. It opens into the nasopharynx.,Expected - RRB Nursing Superintendent | Anatomy - Ear
Taste sensation from the anterior two-thirds of the tongue is carried by:,Hypoglossal nerve (XII),Vagus nerve (X),Glossopharyngeal nerve (IX),Chorda tympani of facial nerve (VII),D,Chorda tympani (CN VII) carries taste from the anterior two-thirds of the tongue. CN IX carries taste from the posterior one-third. CN XII is motor to the tongue.,Expected - RRB Nursing Superintendent | Anatomy - Tongue
The optic disc is also called the blind spot because:,It is opaque cornea,It has no photoreceptors,It contains only cones,It is covered by the iris,B,"At the optic disc, axons leave the eye as the optic nerve. There are no rods or cones, so it is a physiological blind spot.",Expected - RRB Nursing Superintendent | Anatomy - Eye
The structural and functional unit of compact bone is the:,Nephron,Alveolus,Sarcomere,Osteon (Haversian system),D,An osteon is a central Haversian canal with concentric lamellae of bone. It is the basic unit of compact bone.,Expected - RRB Nursing Superintendent | Anatomy - Skeletal system
Red blood cells in the fetus are first formed in the:,Yolk sac,Bone marrow,Lymph nodes,Thymus,A,"Fetal haematopoiesis begins in the yolk sac, then liver and spleen, and later bone marrow (definitive site).",Expected - RRB Nursing Superintendent | Anatomy - Blood
The Circle of Willis is located at the:,Apex of the heart,Hilum of the lung,Porta hepatis,Base of the brain,D,The cerebral arterial circle (of Willis) at the base of the brain anastomoses the internal carotid and vertebrobasilar systems.,Expected - RRB Nursing Superintendent | Anatomy - Nervous system
"Which cranial nerve supplies most extraocular muscles including medial, superior and inferior rectus?",Oculomotor (III),Optic (II),Abducens (VI),Trochlear (IV),A,"CN III supplies levator palpebrae, medial/superior/inferior rectus and inferior oblique. CN IV supplies superior oblique; CN VI supplies lateral rectus.",Expected - RRB Nursing Superintendent | Anatomy - Cranial nerves
The space between the lungs that contains the heart is the:,Mediastinum,Peritoneal cavity,Pleural cavity,Epidural space,A,The mediastinum is the midline thoracic compartment. The heart lies in the middle mediastinum within the pericardium.,Expected - RRB Nursing Superintendent | Anatomy - Thorax
The greater omentum is a fold of:,Meninges,Pleura,Pericardium,Peritoneum,D,The greater omentum is a double fold of peritoneum hanging from the greater curvature of the stomach. It contains fat and immune cells (the abdominal policeman).,Expected - RRB Nursing Superintendent | Anatomy - Digestive
"In adults, the spinal cord usually ends at the level of:",S2 vertebra,T10 vertebra,L1-L2 vertebra,L4-L5 vertebra,C,"The adult spinal cord ends as the conus medullaris at about L1-L2. Lumbar puncture is done below this, usually L3-L4 or L4-L5.",Expected - RRB Nursing Superintendent | Anatomy - Nervous system
The ligamentum teres of the liver is a remnant of the:,Ductus arteriosus,Umbilical artery,Umbilical vein,Urachus,C,After birth the left umbilical vein becomes the ligamentum teres (round ligament) in the falciform ligament. Ductus arteriosus becomes ligamentum arteriosum.,Expected - RRB Nursing Superintendent | Anatomy - Digestive
Which bone forms the prominence of the cheek?,Mandible,Zygomatic bone,Maxilla,Nasal bone,B,The zygomatic (cheek) bone forms the prominence of the cheek and part of the lateral orbit.,Expected - RRB Nursing Superintendent | Anatomy - Skull
Carpal bones are present in the:,Knee,Ankle,Shoulder,Wrist,D,Eight carpal bones form the wrist. Seven tarsal bones form the ankle/hindfoot.,Expected - RRB Nursing Superintendent | Anatomy - Upper limb
Tarsal bones are present in the:,Wrist,Skull,Palm,Ankle and foot,D,"Tarsal bones (talus, calcaneus, navicular, cuboid, cuneiforms) form the posterior foot. The calcaneus is the heel bone.",Expected - RRB Nursing Superintendent | Anatomy - Lower limb
The muscle that closes the eye (eyelid) is:,Orbicularis oculi,Levator palpebrae superioris,Orbicularis oris,Buccinator,A,Orbicularis oculi (CN VII) closes the eyelids. Levator palpebrae superioris (CN III) raises the upper lid. Bell's palsy prevents eye closure.,Expected - RRB Nursing Superintendent | Anatomy - Muscular system
The normal site of the appendix is in the:,Right iliac fossa,Umbilical region,Left iliac fossa,Right hypochondrium,A,McBurney's point in the right iliac fossa overlies the base of the appendix. Pain of appendicitis typically shifts to this area.,Expected - RRB Nursing Superintendent | Anatomy - Digestive
Which structure prevents food from entering the trachea during swallowing?,Thyroid cartilage,Epiglottis,Uvula,Cricoid cartilage,B,"The epiglottis folds over the laryngeal inlet during swallowing so that the bolus goes into the oesophagus, not the airway.",Expected - RRB Nursing Superintendent | Anatomy - Respiratory
The pacemaker of the gut (interstitial cells of Cajal) is most abundant in the:,Serosa of colon only,Liver parenchyma,Oesophagus mucosa,Muscularis of small intestine / stomach,D,Interstitial cells of Cajal in the muscularis generate slow waves that set the basic electrical rhythm of GI motility.,Expected - RRB Nursing Superintendent | Anatomy - Digestive
