question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
The respiratory quotient (RQ) of carbohydrate is:,0.8,1.0,1.2,0.7,B,"RQ = CO2 produced / O2 consumed. For carbohydrate it is 1.0, for protein about 0.8, for fat about 0.7. A mixed Indian diet is around 0.8-0.85. This matters in ventilator and nutrition calculations. Fat oxidation uses more oxygen per ATP, important in respiratory failure when we sometimes lower carbohydrate load.",Expected - RRB Nursing Superintendent | Physiology - Metabolism
Glycogen is stored mainly in:,Adipose tissue only,Brain and RBC,Kidney pelvis,Liver and skeletal muscle,D,"Liver glycogen (about 100 g) maintains blood glucose between meals. Muscle glycogen (about 400 g) is used locally for muscle work and cannot raise blood glucose because muscle lacks glucose-6-phosphatase. Brain and RBCs need a continuous glucose supply. After 24 hours of fasting, liver glycogen is depleted and gluconeogenesis becomes essential.",Expected - RRB Nursing Superintendent | Physiology - Metabolism
The functional process of urine formation includes all except:,Tubular secretion,Emulsification,Tubular reabsorption,Glomerular filtration,B,"Urine is formed by (1) filtration at the glomerulus, (2) reabsorption of useful substances, (3) secretion of wastes (H+, K+, drugs). Emulsification is digestion of fat by bile, not a renal process. About 180 L is filtered daily but only 1-2 L of urine is excreted because 99% of water is reabsorbed. Oliguria in shock means GFR has fallen.",Expected - RRB Nursing Superintendent | Physiology - Renal
Normal glomerular filtration rate (GFR) in an adult is about:,50 mL/min,125 mL/min,500 mL/min,25 mL/min,B,"GFR is about 125 mL/min (180 L/day) in a young adult. It is estimated clinically by creatinine clearance or eGFR. GFR falls with age, shock, NSAIDs (afferent constriction) and ACE inhibitors in bilateral renal artery stenosis (efferent dilatation). Keep MAP adequate and avoid nephrotoxins in oliguric patients.",Expected - RRB Nursing Superintendent | Physiology - Renal
What is the renal threshold value of glucose?,182 mg/dL,188 mg/dL,185 mg/dL,180 mg/dL,D,"Renal threshold is the plasma glucose at which glucose appears in urine, about 180 mg/dL (venous). Below this, tubules reabsorb all filtered glucose (mainly SGLT2 in proximal tubule). Above it, glycosuria occurs. In pregnancy the threshold may be lower, so glycosuria can appear with milder hyperglycemia. SGLT2 inhibitor drugs cause glycosuria by blocking reabsorption even at normal glucose.","Previous Year - RRB Staff Nurse 2019, 21 July Shift I | Physiology"
ADH (vasopressin) acts mainly on the:,Glomerulus to stop filtration,Loop of Henle to secrete sodium,Collecting duct to increase water reabsorption,Proximal tubule to secrete glucose,C,"ADH from the posterior pituitary inserts aquaporin-2 channels in the collecting duct so water is reabsorbed and urine becomes concentrated. Lack of ADH is cranial diabetes insipidus (large volumes of dilute urine). Excess ADH (SIADH) causes hyponatremia with concentrated urine. Alcohol inhibits ADH, which is why beer drinking causes diuresis. Monitor intake-output and sodium.",Expected - RRB Nursing Superintendent | Physiology - Renal
Aldosterone increases renal reabsorption of:,Glucose,Sodium (and water) and excretion of potassium,Urea only,Potassium and water only in the loop,B,"Aldosterone from adrenal zona glomerulosa acts on principal cells of the cortical collecting duct: Na+ is reabsorbed, K+ and H+ are secreted. Water follows sodium, so ECF volume and BP rise. Hyperaldosteronism causes hypertension and hypokalemia. Spironolactone blocks this receptor (potassium-sparing). In Addison's disease aldosterone is low: hyponatremia, hyperkalemia, shock.",Expected - RRB Nursing Superintendent | Physiology - Renal
Which one of the following is the process of urination resulting from voluntary and involuntary muscles?,Micturition process,Prostate process,Kidney process,Glomerular process,A,"Micturition is emptying of the bladder. Filling stretches the detrusor (involuntary smooth muscle); at a threshold the micturition reflex (sacral spinal cord) contracts detrusor and relaxes the internal sphincter. The external urethral sphincter is skeletal muscle under voluntary control. Infants void reflexly; toilet training adds cortical control. Spinal injury, BPH and drugs (anticholinergics) disturb this process.","Previous Year - RRB Staff Nurse 2019, 21 July Shift I | Physiology"
"The hormone secreted when blood pressure or sodium is low, starting the renin-angiotensin system, is released from the:",Adrenal medulla,Thyroid,Posterior pituitary,Juxtaglomerular cells of the kidney,D,"Juxtaglomerular cells release renin when renal perfusion, NaCl at the macula densa, or sympathetic tone changes. Renin converts angiotensinogen (liver) to angiotensin I; ACE in lung converts it to angiotensin II, which vasoconstricts and stimulates aldosterone and thirst. ACE inhibitors and ARBs treat hypertension and protect diabetic kidneys. Side effect of ACEI: cough and hyperkalemia.",Expected - RRB Nursing Superintendent | Physiology - Renal
Respiratory acidosis is caused by:,Hyperventilation,Hypoventilation with CO2 retention,Diarrhoea losing bicarbonate,Vomiting of gastric acid,B,"If ventilation is inadequate (COPD, opioid overdose, neuromuscular failure), PaCO2 rises and pH falls: respiratory acidosis. Hyperventilation blows off CO2 and causes respiratory alkalosis. Vomiting loses H+ (metabolic alkalosis). Diarrhoea loses HCO3- (metabolic acidosis). Nursing: open airway, give oxygen carefully, reverse opioids with naloxone, assist ventilation. Look at ABG: high PaCO2 + low pH.",Expected - RRB Nursing Superintendent | Physiology - Acid-base
Metabolic acidosis with a high anion gap is typical of:,Diabetic ketoacidosis,Anxiety attack,Hyperventilation at high altitude,Pyloric stenosis vomiting,A,"In DKA, ketoacids add unmeasured anions, so anion gap (Na - (Cl+HCO3)) rises and HCO3- falls. Other HAGMA causes: lactic acidosis, renal failure, poisons (methanol, salicylate). Normal anion gap acidosis is often diarrhoea or RTA (loss of HCO3- or failure to excrete H+). Anxiety causes respiratory alkalosis. Prolonged vomiting causes metabolic alkalosis. Treat DKA with fluids, insulin and potassium replacement.",Expected - RRB Nursing Superintendent | Physiology - Acid-base
The main buffer system of extracellular fluid is:,Haemoglobin buffer,Bicarbonate-carbonic acid buffer,Phosphate buffer,Protein buffer inside cells only,B,The bicarbonate buffer (H2CO3 / HCO3-) is the principal ECF buffer because CO2 can be expired by lungs and HCO3- regulated by kidneys (open system). Haemoglobin is important inside RBCs. Phosphate and proteins are more important in cells and urine. Ratio of HCO3- : dissolved CO2 is 20:1 at pH 7.4 (Henderson-Hasselbalch). That is why both lung and kidney must work to keep pH normal.,Expected - RRB Nursing Superintendent | Physiology - Acid-base
A negative feedback hormone loop means:,Only neural control exists,The hormone stimulates more of itself without limit,Rising hormone or its effect reduces further secretion,Glands never respond to blood levels,C,"Most endocrine axes use negative feedback. Example: high T3/T4 inhibit TSH and TRH; high cortisol inhibits ACTH. This keeps levels stable. Positive feedback is rare (oxytocin in labour, LH surge). If you give high-dose steroids, ACTH and the adrenal cortex are suppressed—never stop long-term steroids suddenly. Feedback questions are very common in RRB.",Expected - RRB Nursing Superintendent | Physiology - Endocrine
Insulin is secreted by:,Delta cells of pancreas,Acinar cells of pancreas,Alpha cells of pancreas,Beta cells of pancreas,D,"Beta cells of islets of Langerhans secrete insulin in response to high blood glucose. Insulin promotes glucose uptake (GLUT-4), glycogenesis, protein synthesis and fat storage, and lowers blood sugar. Alpha cells secrete glucagon (raises sugar). Delta cells secrete somatostatin. Acinar cells are exocrine (digestive enzymes). Type 1 DM is beta-cell destruction; type 2 is insulin resistance plus relative insulin lack.",Expected - RRB Nursing Superintendent | Physiology - Endocrine
Glucagon raises blood glucose mainly by:,Destroying insulin receptors,Inhibiting the kidney,Stimulating glycogenolysis and gluconeogenesis in the liver,Blocking the intestine completely,C,"When glucose is low, glucagon acts on the liver to break glycogen and make new glucose from amino acids. It also promotes fat breakdown. Insulin and glucagon are reciprocal. In a hypoglycaemic unconscious diabetic, glucagon injection is an emergency alternative if IV glucose is not immediately available. Do not confuse glucagon with glycogen (the storage carbohydrate).",Expected - RRB Nursing Superintendent | Physiology - Endocrine
The hormone that increases basal metabolic rate is:,Aldosterone,Thyroxine (T4/T3),Prolactin,Insulin,B,"Thyroid hormones raise BMR, heat production, heart rate and CNS activity. Hypothyroidism: weight gain, cold intolerance, bradycardia, constipation, myxoedema. Hyperthyroidism: weight loss, heat intolerance, tachycardia, tremor, diarrhoea. TSH is the screening test. Iodine is needed to make T3/T4; deficiency causes goitre. Never give high-dose iodine contrast without thought in hyperthyroid patients (jodbasedow).",Expected - RRB Nursing Superintendent | Physiology - Endocrine
Parathyroid hormone (PTH) increases blood calcium by all except:,Increasing calcitonin secretion as its main action,Bone resorption,Activation of vitamin D (calcitriol),Increased renal calcium reabsorption,A,"PTH raises plasma Ca2+: it stimulates osteoclasts, increases renal Ca2+ reabsorption, increases phosphate excretion, and activates vitamin D, which increases intestinal Ca2+ absorption. Calcitonin from thyroid C cells lowers Ca2+ and is not the action of PTH—it opposes PTH. After thyroidectomy, accidental parathyroid removal causes tetany (hypocalcemia). Give calcium and watch the QT interval.",Expected - RRB Nursing Superintendent | Physiology - Endocrine
The fight-or-flight hormone from the adrenal medulla is:,Aldosterone,Cortisol,Insulin,Adrenaline (epinephrine),D,"Adrenaline and noradrenaline are catecholamines from the adrenal medulla, released in stress via sympathetic nerves. They raise HR, BP, blood glucose and bronchodilate (beta-2). Cortisol is a slower glucocorticoid from the cortex. In anaphylaxis we give IM adrenaline 1:1000 because it reverses vasodilatation and bronchospasm. Beta-blockers can blunt some of these effects.",Expected - RRB Nursing Superintendent | Physiology - Endocrine
Cortisol (glucocorticoid) physiological actions include:,Lowering blood glucose only,"Raising blood glucose, anti-inflammatory effect, and helping stress response",Stopping all immunity permanently in normal doses,Increasing potassium only,B,"Cortisol is a stress hormone: it increases gluconeogenesis (hyperglycemia), is anti-inflammatory, and maintains vascular response to catecholamines. Excess (Cushing) causes moon face, striae, infection, osteoporosis and hypertension. Deficiency (Addison) causes shock, hyperpigmentation, hyponatremia and hyperkalemia. Steroid therapy must be tapered. Patients on long-term steroids need extra doses when ill (sick-day rules).",Expected - RRB Nursing Superintendent | Physiology - Endocrine
Oxytocin causes:,Rise in blood glucose,Milk ejection and uterine contraction,Sperm production,Milk production (lactogenesis),B,"Oxytocin from the posterior pituitary contracts myoepithelial cells of the breast (let-down reflex) and the uterus (labour, afterpains, reducing PPH). Prolactin from the anterior pituitary is for milk synthesis. Suckling stimulates both. Synthetic oxytocin (Syntocinon) is used to induce labour and prevent atonic PPH. Excess can cause water intoxication because of ADH-like activity.",Expected - RRB Nursing Superintendent | Physiology - Endocrine
ADH deficiency causes:,Diabetes insipidus with large volumes of dilute urine,Oliguria with concentrated urine,SIADH with high urine sodium only as the definition,Diabetes mellitus with ketones always,A,"Without ADH, collecting ducts stay impermeable to water: the patient passes 5-20 L/day of dilute urine (polyuria), drinks excessively (polydipsia), and can dehydrate. This is cranial DI. Nephrogenic DI is kidney resistance to ADH. DM has polyuria from osmotic diuresis of glucose, and urine contains sugar. SIADH is too much ADH: oliguria and hyponatremia. Test: water deprivation and desmopressin.",Expected - RRB Nursing Superintendent | Physiology - Endocrine
Growth hormone excess in adults causes:,Dwarfism,Cretinism,Gigantism,Acromegaly,D,"After epiphyses close, excess GH enlarges hands, feet, jaw and viscera (acromegaly), often from a pituitary adenoma. Before puberty the same excess causes gigantism. GH deficiency in children causes pituitary dwarfism. Cretinism is congenital hypothyroidism. Acromegaly patients also get diabetes, hypertension and sleep apnoea. Screen with IGF-1.",Expected - RRB Nursing Superintendent | Physiology - Endocrine
Ovulation is triggered mainly by a surge of:,Prolactin,Oxytocin,FSH only,LH,D,"Mid-cycle oestrogen peaks and then a surge of LH (with some FSH) causes ovulation about 12-24 hours later, usually day 14 of a 28-day cycle. The ovum is viable about 24 hours. Progesterone from the corpus luteum then dominates the secretory phase. LH kits detect this surge for fertility timing. Anovulation means no LH surge or no follicular ripening.",Expected - RRB Nursing Superintendent | Physiology - Reproductive
"In the menstrual cycle, progesterone is secreted mainly by the:",Corpus luteum,Anterior pituitary,Endometrium only,Adrenal medulla,A,"After ovulation the ruptured follicle becomes the corpus luteum and secretes progesterone (and some oestrogen). Progesterone makes endometrium secretory, ready for implantation, and raises body temperature by about 0.5°C. If pregnancy does not occur, the corpus luteum dies, hormones fall, and menstruation starts. If pregnancy occurs, hCG maintains the corpus luteum until the placenta takes over.",Expected - RRB Nursing Superintendent | Physiology - Reproductive
The hormone of pregnancy detected in urine pregnancy tests is:,Prolactin,hCG,FSH,LH,B,"Human chorionic gonadotropin (hCG) from trophoblast appears in blood and urine soon after implantation. It maintains the corpus luteum. Home kits detect urinary hCG. Very high hCG occurs in molar pregnancy and multiple gestation. Falling hCG after a positive test may mean failing pregnancy. LH can theoretically cross-react in some old kits, but modern tests are specific for hCG.",Expected - RRB Nursing Superintendent | Physiology - Reproductive
Milk production (secretion) is stimulated by:,Testosterone,Prolactin,Oxytocin,Adrenaline,B,Prolactin from anterior pituitary stimulates alveolar cells to make milk. Oxytocin ejects already-formed milk. Dopamine from hypothalamus inhibits prolactin; that is why dopamine antagonists (some antipsychotics) can cause galactorrhoea. Suckling increases prolactin. Oestrogen-progesterone of pregnancy inhibit milk secretion until after delivery when they fall. Advise exclusive breastfeeding; suppressors are not first-line.,Expected - RRB Nursing Superintendent | Physiology - Reproductive
Testosterone is produced mainly by:,Sertoli cells,Leydig (interstitial) cells of testis,Prostate epithelium,Epididymis lining,B,"Leydig cells, stimulated by LH, make testosterone. Sertoli cells, stimulated by FSH, support spermatogenesis and secrete inhibin. Testosterone is needed for male secondary sex characters, libido and spermatogenesis. Anabolic steroid abuse suppresses LH/FSH and can cause infertility. Prostate is a target organ, not the main source.",Expected - RRB Nursing Superintendent | Physiology - Reproductive
Spermatogenesis occurs in the:,Seminal vesicle,Bulbourethral gland,Prostate,Seminiferous tubules,D,"Sperm are produced in seminiferous tubules of the testis, mature in the epididymis, and mix with secretions of seminal vesicles and prostate at ejaculation. Temperature 2-3°C below core is needed (scrotum). Fever, varicocele and tight heat can impair spermatogenesis. FSH and testosterone regulate the process. Complete maturation takes about 64-74 days.",Expected - RRB Nursing Superintendent | Physiology - Reproductive
Which immunoglobulin crosses placenta and protects the newborn naturally against bacteria?,IgG,IgD,IgM,IgA,A,"IgG is the only immunoglobulin that crosses the placenta, giving the neonate passive immunity for months. Presence of IgM in the newborn suggests the baby made antibody (intrauterine infection), because IgM does not cross. Secretory IgA in breast milk protects the gut mucosa. This is why delayed cord clamping and breastfeeding matter, and why live vaccines and some infections are timed around maternal antibody.","Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 2 | Physiology"
The luteal (secretory) phase of the endometrium is dominated by:,Progesterone,Oestrogen only from follicles,Oxytocin,FSH,A,"After ovulation, progesterone from the corpus luteum converts proliferative endometrium into a secretory, glycogen-rich lining. If implantation fails, progesterone withdrawal causes ischaemia and menstruation. If you give progesterone support in early IVF pregnancy, you are mimicking this physiology. Irregular shedding occurs when progesterone support is inadequate.",Expected - RRB Nursing Superintendent | Physiology - Reproductive
"During the upstroke (depolarization) of a neuronal action potential, which ion rushes in?",Chloride only,Potassium,Calcium only in all neurons equally,Sodium,D,"Voltage-gated Na+ channels open, Na+ enters, and the membrane potential shoots toward positive (about +30 mV). Then Na+ channels inactivate and K+ leaves, repolarizing the cell. Local anaesthetics and some anticonvulsants block Na+ channels. Hyperkalemia changes excitability and can cause paralysis or arrhythmias. Remember: Na in = depolarization; K out = repolarization.",Expected - RRB Nursing Superintendent | Physiology - Nerve-muscle
The neurotransmitter at the neuromuscular junction is:,Serotonin,Dopamine,Acetylcholine,GABA,C,"Motor nerve terminals release acetylcholine (ACh), which binds nicotinic receptors on muscle and opens Na+ channels, causing contraction. Acetylcholinesterase then destroys ACh. Myasthenia gravis is antibody attack on these receptors (fatigable weakness). Organophosphate poisoning inhibits the enzyme, causing excess ACh (SLUDGE, fasciculations). Curare-type drugs block the receptor for anaesthesia. Atropine blocks muscarinic, not these nicotinic, receptors.",Expected - RRB Nursing Superintendent | Physiology - Nerve-muscle
A synapse is:,The junction between two neurons (or neuron and effector),A type of bone cell,A liver lobule,A lung alveolus,A,"A synapse is the communication site: usually the first cell releases neurotransmitter into the cleft, and the second cell has receptors. Most CNS synapses are chemical. Reflexes require at least one synapse in the spinal cord (knee jerk is monosynaptic). Drugs and toxins often act at synapses (SSRIs, antipsychotics, botulinum toxin).",Expected - RRB Nursing Superintendent | Physiology - Nerve-muscle
The knee jerk (patellar) reflex is a:,Monosynaptic stretch reflex,Conditioned reflex like salivation to a bell,Cranial nerve reflex,Polysynaptic withdrawal reflex only,A,Tapping the patellar tendon stretches the quadriceps; muscle spindles fire; Ia afferents synapse directly on alpha motor neurons (monosynaptic) and the muscle contracts. It tests L3-L4 segments. Exaggerated jerks suggest upper motor neuron lesion; absent jerks suggest lower motor neuron or peripheral nerve lesion. Reinforcement (Jendrassik manoeuvre) can bring out a weak jerk.,Expected - RRB Nursing Superintendent | Physiology - Nerve-muscle
Tetany due to hypocalcemia occurs because low calcium:,Increases neuronal sodium permeability and excitability,Paralyses muscles by blocking actin,Destroys acetylcholine,Stops all reflexes permanently,A,"Low ionized Ca2+ makes sodium channels open more easily, so peripheral nerves fire spontaneously: paraesthesia, carpopedal spasm, laryngospasm. Chvostek and Trousseau signs become positive. Treat with IV calcium gluconate if severe, protect the airway, and find the cause (often hypoparathyroidism after thyroid surgery). Alkalosis (hyperventilation) can cause tetany by lowering ionized calcium without changing total calcium.",Expected - RRB Nursing Superintendent | Physiology - Nerve-muscle
Isometric muscle contraction means:,Muscle lengthens while contracting,Tension rises but length stays the same (no movement),Muscle shortens with constant tension,No ATP is used,B,"Isometric: length constant, tension changes (pushing a wall, early cardiac contraction). Isotonic: tension roughly constant, muscle shortens (lifting a light object). Isokinetic is constant speed (rehab machines). All use ATP. Cardiac isovolumetric contraction is an isometric-like phase with both valves closed.",Expected - RRB Nursing Superintendent | Physiology - Nerve-muscle
Rigour mortis after death is due to:,Fever,Lack of ATP so actin-myosin cross-bridges cannot detach,Excess ATP,Overflow of acetylcholine only,B,"After death ATP production stops. Cross-bridges between actin and myosin remain attached and muscles stiffen (rigour). Later, autolysis loosens the stiffness. This is a forensic and anatomy viva favourite. In living muscle, ATP is needed both for contraction (cocking myosin) and for relaxation (detachment and calcium pumping).",Expected - RRB Nursing Superintendent | Physiology - Nerve-muscle
The withdrawal reflex when you touch a hot object is:,Only a brain cortical decision,Monosynaptic,Polysynaptic and protective,Not a reflex,C,"Pain afferents enter the cord, interneurons excite flexor motor neurons and inhibit extensors of the same limb (polysynaptic). You pull away before you fully 'feel' it in the cortex. A crossed-extensor reflex supports the opposite leg. This is why a patient with a spinal cord cut above the segment can still have a withdrawal jerk, but sensation and voluntary control are lost below the lesion.",Expected - RRB Nursing Superintendent | Physiology - CNS
Sympathetic stimulation of the heart causes:,Only vasodilatation of skin,Complete AV block as the normal response,Decreased heart rate,Increased heart rate and force of contraction,D,"Sympathetic (beta-1) stimulation is fight-or-flight: tachycardia, stronger contraction, faster AV conduction, and usually higher BP. Parasympathetic (vagus, ACh, muscarinic) slows the heart. Atropine blocks vagus → HR rises. Beta-blockers do the opposite. In haemorrhagic shock, sympathetic drive produces cold pale skin (vasoconstriction) and a thready rapid pulse.",Expected - RRB Nursing Superintendent | Physiology - ANS
Parasympathetic (vagus) stimulation of the heart causes:,Ventricular fibrillation always,Bradycardia,Rise in temperature,Tachycardia,B,"Vagus nerve slows SA node firing and AV conduction (bradycardia). Severe vagal episodes (suctioning, carotid sinus pressure, viscerovagal reflex) can cause syncope. Atropine is the drug for symptomatic bradycardia of this type. VF is not a normal vagal effect. Remember: rest-and-digest = parasympathetic; fight-or-flight = sympathetic.",Expected - RRB Nursing Superintendent | Physiology - ANS
Accommodation of the eye for near vision requires:,Relaxation of ciliary muscle and flattening of lens,Closure of eyelids,Only dilatation of pupil,Contraction of ciliary muscle and increased lens curvature,D,"For near vision the ciliary muscle contracts (CN III, parasympathetic), zonules slacken, and the elastic lens becomes more convex, increasing refractive power. The pupil also constricts (near reflex) to sharpen the image. Presbyopia is loss of lens elasticity with age; reading glasses are needed. Atropine paralyses accommodation (cycloplegia) and dilates the pupil.",Expected - RRB Nursing Superintendent | Physiology - Special senses
Rods in the retina are specialised for:,Dim light (scotopic) vision,Producing aqueous humour,Colour and bright light (photopic) vision,Accommodation only,A,"Rods are very sensitive, used in the dark, and do not detect colour. Cones need brighter light, give colour and acuity, and are concentrated at the fovea. Night blindness (nyctalopia) from vitamin A deficiency affects rod function because rhodopsin needs retinal (vitamin A). A diet history matters in such patients.",Expected - RRB Nursing Superintendent | Physiology - Special senses
The organ of Corti converts sound into nerve impulses in the:,Cochlea,Tympanic membrane only,Auricle,Middle ear ossicles,A,"Vibrations reach the inner-ear fluid; hair cells of the organ of Corti in the cochlea transduce them into CN VIII signals. Ossicles only conduct mechanically. Sensorineural deafness is cochlear or nerve damage; conductive deafness is outer/middle ear (wax, otitis media, otosclerosis). Speak on the better side, face the patient, and avoid ototoxic drugs (aminoglycosides, high-dose frusemide) if possible.",Expected - RRB Nursing Superintendent | Physiology - Special senses
The body's temperature-regulating centre is in the:,Medulla only,Cerebellum,Pons,Hypothalamus,D,"The preoptic anterior hypothalamus is the thermostat. It balances heat production (muscle, thyroid, shivering) and heat loss (sweating, vasodilatation). Fever is a raised set-point due to cytokines (IL-1, etc.) acting via prostaglandins—that is why paracetamol brings fever down. Hypothermia below 35°C is dangerous; rewarm gradually and monitor cardiac rhythm.",Expected - RRB Nursing Superintendent | Physiology - Temperature
Heat loss by evaporation occurs mainly through:,Conduction to a chair only,Inspiration of cold air only,Radiation only,Sweating,D,"When sweat evaporates it takes latent heat from the skin. This is the main cooling method in a hot environment or during exercise. High humidity reduces evaporation, so heat stroke risk rises. Radiation is infrared heat to cooler surroundings; conduction is direct contact; convection is moving air. In a heat-stroke patient: cool rapidly, give fluids, stop generating more heat.",Expected - RRB Nursing Superintendent | Physiology - Temperature
The stress (general adaptation) first-line neural response is mainly:,Only thyroid hormone,Parasympathetic,Only ADH,Sympathetic-adrenal medullary (adrenaline),D,"Immediate stress uses sympathetic nerves and adrenal medulla (adrenaline): HR, BP and glucose rise. Minutes to hours later, CRH-ACTH-cortisol supports the response. Selye called this the alarm, resistance and exhaustion stages. Chronic stress raises infection and peptic-ulcer risk. In nursing, reduce pain, fear and cold—they all add to the stress load of a shocked patient.",Expected - RRB Nursing Superintendent | Physiology - Stress
Sleep is generally associated with:,Predominant sympathetic discharge like exercise,Absence of all brain activity (flat EEG always),Increased parasympathetic (vagal) tone,Always a rise in body temperature,C,"During sleep, parasympathetic tone usually rises: slower heart rate, lower BP, smaller pupils. Temperature falls slightly. EEG is not flat; it shows characteristic stages including REM with dreaming. Nurses use this physiology: night rest, quiet ward, and caution with night sedatives in COPD because ventilation already falls a little in sleep.",Expected - RRB Nursing Superintendent | Physiology - CNS
Which immunoglobulin is the main antibody in secondary (memory) immune response in blood?,IgE,IgA,IgM,IgG,D,"IgM is the first antibody in a primary response. IgG dominates later and in secondary responses, opsonizes bacteria and crosses the placenta. IgA is mucosal (breast milk, secretions). IgE is allergy and parasites. Vaccination works by creating memory B (and T) cells so the next exposure produces a fast IgG rise.",Expected - RRB Nursing Superintendent | Physiology - Immunity
Fever is produced when the hypothalamic set-point is raised by:,Adrenaline only,Pyrogens and prostaglandins,Insulin,Surfactant,B,"Microbial toxins and cytokines (endogenous pyrogens such as IL-1) increase prostaglandin E2 in the hypothalamus, raising the set-point. The person then feels cold, shivers, and temperature rises to the new set-point. Antipyretics block prostaglandin synthesis. Do not over-cool a shivering patient with a still-high set-point; treat cause, give fluids, and use tepid sponging as advised.",Expected - RRB Nursing Superintendent | Physiology - Temperature
"In exercise, oxygen delivery to muscle increases mainly because of:",Only a rise in residual volume,Fall in cardiac output,Complete stoppage of breathing,Rise in cardiac output and local vasodilatation,D,"Muscle activity raises local metabolites (K+, lactate, CO2, adenosine) causing arterioles to dilate (active hyperaemia). Sympathetic drive raises HR and stroke volume, so CO can increase 4-6 times. Oxygen dissociation also shifts right (Bohr effect) helping unloading. This is why bed rest rapidly deconditions the CVS and why cardiac patients need graded mobilisation.",Expected - RRB Nursing Superintendent | Physiology - Exercise
The Bohr effect means:,Oxygen has no relation to pH,Only temperature cools the blood,High CO2 increases Hb affinity so oxygen cannot leave,"High CO2 and low pH decrease Hb affinity for oxygen, helping unloading in tissues",D,"In active tissues, high PCO2, high H+ (low pH) and high temperature shift the O2-Hb curve to the right, so haemoglobin gives up oxygen more readily. In the lungs the opposite happens and Hb loads O2. This matches supply to demand. 2,3-BPG in RBCs also right-shifts the curve (increases in anaemia and high altitude).",Expected - RRB Nursing Superintendent | Physiology - Respiratory
A person standing suddenly feels dizzy because of:,Pooling of blood in legs and delayed baroreceptor compensation (orthostatic hypotension),Excess ADH within one second,Closure of the foramen ovale,Immediate rise in cerebral pressure,A,"On standing, gravity pools blood in the legs, venous return and CO fall briefly, and cerebral perfusion dips. Baroreceptors then raise HR and constrict vessels. If this fails (elderly, dehydration, antihypertensives, autonomic neuropathy), the person faints. Nursing: rise slowly, dangle legs, adequate fluids, compression stockings if prescribed. Check lying and standing BP.",Expected - RRB Nursing Superintendent | Physiology - CVS
Which hormone lowers blood calcium?,Vitamin D (active),PTH,Cortisol as its main action,Calcitonin,D,"Calcitonin from thyroid C (parafollicular) cells lowers plasma calcium by inhibiting osteoclasts. PTH and active vitamin D raise calcium. Calcitonin is used sometimes in hypercalcemia of malignancy and in some bone diseases, but it is not the main daily regulator in adults—PTH is. After total thyroidectomy, calcium problems are from lost parathyroids, not from lost calcitonin.",Expected - RRB Nursing Superintendent | Physiology - Endocrine
The principal intracellular buffer is:,Glucose,Ammonia in plasma,Proteins and phosphates,Bicarbonate only,C,"Inside cells, proteins (including haemoglobin in RBCs) and phosphate buffers bind H+. In ECF, bicarbonate dominates. In the kidney, phosphate and ammonia (as ammonium) help excrete H+. Knowing buffers explains why haemoglobin is a major blood buffer and why phosphate depletion impairs renal acid excretion.",Expected - RRB Nursing Superintendent | Physiology - Acid-base
Normal fasting blood glucose is approximately:,70-100 mg/dL,300-400 mg/dL,180-250 mg/dL,20-40 mg/dL,A,Venous fasting plasma glucose in a healthy adult is about 70-100 mg/dL (some labs 70-110). Below 70 with symptoms is hypoglycaemia—give glucose. 100-125 is impaired fasting glucose; ≥126 on two occasions suggests diabetes (WHO/ADA style cut-offs used in exams). Random ≥200 with symptoms also diagnoses DM. Know the values; they are asked every year.,Expected - RRB Nursing Superintendent | Physiology - Metabolism
The principal site of extra-embryonic gas and nutrient exchange in fetal life is the:,Fetal lung alveoli,Amniotic fluid only,Yolk sac throughout pregnancy,Placenta,D,"The placenta exchanges O2, CO2, nutrients and wastes between mother and fetus. Fetal lungs are fluid-filled and do not do gas exchange until birth. Fetal haemoglobin (HbF) binds oxygen more avidly, helping extraction from maternal blood. Cord compression or placental abruption quickly causes fetal hypoxia—this is why we monitor FHR in labour.",Expected - RRB Nursing Superintendent | Physiology - Fetal physiology
"At birth, closure of the foramen ovale is mainly due to:",Secretion of meconium,Rise in left atrial pressure as pulmonary return increases,Cut of the vagus nerve,Rise in right atrial pressure above left,B,"When the baby breathes, pulmonary vascular resistance falls, pulmonary blood flow rises, and left atrial pressure exceeds right atrial pressure, pushing the septum primum against the foramen ovale. The ductus arteriosus later closes as oxygen rises and prostaglandins fall. Persistent pulmonary hypertension or congenital defects can keep fetal channels open. This is core neonatal physiology for nursing exams.",Expected - RRB Nursing Superintendent | Physiology - Fetal physiology
Which of the following is a normal adult urine output?,About 1-2 litres/day,400-500 mL/day,10 litres/day,50 mL/day,A,"Typical urine output is about 1-2 L/day (roughly 0.5 mL/kg/hour). Oliguria is <400-500 mL/day; anuria is <50-100 mL/day. Polyuria is large volumes (DI, DM, excess fluids). Hourly urine output is a vital sign of renal perfusion in shock. Catheter care must be aseptic because stasis and catheters cause UTI.",Expected - RRB Nursing Superintendent | Physiology - Renal
